"","PCSA","SDI_2022_Raw","SDI_2022"
"1","01001020500",-0.420794245003107,29
"2","01003010500",0.212853420644058,55
"3","01003010705",-0.521822299381117,25
"4","01003010904",-0.363861551866303,31
"5","01003011202",-0.187284070023492,38
"6","01003011406",-0.74122624934226,18
"7","01003011407",-0.62721385998656,21
"8","01003011502",-0.0216874618585745,45
"9","01003011602",-0.610242110504561,22
"10","01005950700",1.03655110161382,88
"11","01007010003",-0.264126349121664,35
"12","01009050102",0.301671368520093,60
"13","01009050200",0.138981197523941,52
"14","01011952200",1.27622620178936,94
"15","01013953100",1.18630728572408,92
"16","01013953300",0.273660752575786,58
"17","01015000200",0.651592806314072,75
"18","01015002600",0.42232058105455,65
"19","01015002103",1.01631152325418,87
"20","01015002200",0.133828555458782,52
"21","01017954600",0.0291891454401765,47
"22","01019956000",0.0923395254445256,50
"23","01021060102",0.429309015499248,66
"24","01021060402",0.448218860198706,66
"25","01023956800",0.324692326624026,61
"26","01025957602",0.614239245742374,74
"27","01025957800",0.720429267806494,78
"28","01025957902",0.833678718427325,81
"29","01027959100",0.081593176865449,50
"30","01029959600",0.686095391674419,76
"31","01031010500",0.223850870795921,56
"32","01031010900",1.03619305755882,88
"33","01033020701",0.154594752603953,53
"34","01033020704",-0.572862017358587,23
"35","01035960500",0.669920194889183,76
"36","01039961800",1.30518302481418,95
"37","01039962400",0.135673033527231,52
"38","01039963000",0.811724431799195,81
"39","01041963600",-0.0961723443115148,42
"40","01043964200",-0.0926243869936258,42
"41","01045020700",1.17314277564807,92
"42","01045020500",1.19309924334104,92
"43","01047956800",0.852578630000421,82
"44","01049960200",0.634719124058061,74
"45","01049960400",0.033571940465701,48
"46","01049961400",0.52000445295278,70
"47","01051030400",0.150481717544669,53
"48","01051030500",-0.547153144112443,24
"49","01051030702",-0.971083973500652,11
"50","01053970100",0.0684468912644889,49
"51","01053970300",0.45938290695995,67
"52","01053970700",0.365170887873767,62
"53","01055001200",1.41362811175063,96
"54","01055011100",0.457296405866993,67
"55","01057020300",1.20771889100613,92
"56","01059973000",0.859319796723547,82
"57","01059973400",1.04913691596518,88
"58","01061050300",0.872086289430822,83
"59","01063060100",0.700838917447962,77
"60","01065040400",1.21209446800213,93
"61","01067030200",0.843949446389689,82
"62","01067030500",-0.527057090680521,25
"63","01069041000",1.47941142612581,97
"64","01071950300",0.56605691547392,71
"65","01071950800",1.17077169256849,91
"66","01073002306",-1.49498999003112,2
"67","01073004500",0.850772827606411,82
"68","01073004701",-0.0470343487513386,44
"69","01073011104",-0.393535234093842,30
"70","01073011703",-0.617321459609451,21
"71","01073011705",-0.706935617752212,19
"72","01073012002",-0.337584704617081,32
"73","01073012103",0.413573934970918,65
"74","01073014105",0.482079719213296,68
"75","01075030100",0.722508939146667,78
"76","01075030200",-0.179932118366354,38
"77","01077010900",0.908199293900187,84
"78","01077011802",-0.832581921256714,15
"79","01079979400",1.0946979511317,89
"80","01081041100",-0.34961140386494,32
"81","01083020401",0.325185830982115,61
"82","01083020500",0.846422725407584,82
"83","01087231800",1.1357769870625,91
"84","01089003100",0.940889636980804,85
"85","01089011014",-1.1096676581967,8
